epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,264.806,0.72206,0.76684,0.90452,0.98142,0.99743,0.995,0.81242,0.69814,0.54872,0.88837,0.000990365,0.000990365,0.000990365
43,271.563,0.77813,0.70513,0.93433,0.97963,0.98036,0.995,0.83197,0.60432,0.54826,0.87023,0.000973861,0.000973861,0.000973861
44,276.982,0.71632,0.73088,0.92153,0.97963,0.98036,0.995,0.83197,0.60432,0.54826,0.87023,0.000957358,0.000957358,0.000957358
45,283.402,0.78656,0.89854,0.96276,0.95528,0.99928,0.995,0.83559,0.58916,0.55607,0.86964,0.000940855,0.000940855,0.000940855
46,288.535,0.74333,0.73881,0.95885,0.95528,0.99928,0.995,0.83559,0.58916,0.55607,0.86964,0.000924352,0.000924352,0.000924352
47,295.314,0.76061,0.73626,0.9853,0.99726,0.98817,0.995,0.8282,0.60811,0.56025,0.87299,0.000907848,0.000907848,0.000907848
48,301.437,0.65058,0.66967,0.87499,0.99579,0.99781,0.995,0.83952,0.57561,0.54978,0.86505,0.000891345,0.000891345,0.000891345
49,306.353,0.76379,0.79241,0.9838,0.99579,0.99781,0.995,0.83952,0.57561,0.54978,0.86505,0.000874842,0.000874842,0.000874842
50,312.488,0.69778,0.71705,0.92401,0.99674,1,0.995,0.86177,0.54235,0.52766,0.85476,0.000858338,0.000858338,0.000858338
51,317.418,0.63607,0.72525,0.8967,0.99674,1,0.995,0.86177,0.54235,0.52766,0.85476,0.000841835,0.000841835,0.000841835
52,323.232,0.72272,0.6988,0.90958,0.99649,1,0.995,0.84807,0.55908,0.49887,0.85393,0.000825332,0.000825332,0.000825332
53,329.213,0.6679,0.64106,0.90698,0.99422,0.99691,0.995,0.84355,0.62871,0.50715,0.86268,0.000808828,0.000808828,0.000808828
54,334.273,0.75224,0.69532,0.91821,0.99422,0.99691,0.995,0.84355,0.62871,0.50715,0.86268,0.000792325,0.000792325,0.000792325
55,340.09,0.66909,0.76347,0.90741,0.98439,0.99313,0.995,0.84032,0.64422,0.50816,0.86602,0.000775822,0.000775822,0.000775822
56,345.449,0.62729,0.7607,0.92924,0.98439,0.99313,0.995,0.84032,0.64422,0.50816,0.86602,0.000759318,0.000759318,0.000759318
57,352.829,0.71587,0.7834,0.94616,0.9877,0.99898,0.995,0.85122,0.61729,0.51582,0.86229,0.000742815,0.000742815,0.000742815
