epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,227.539,2.37571,1.05173,3.96492,2.12711,0.00434,0.02778,0.00123,0.00045,0,0,0,0,3.90448,5.43908,26.5054,29.1241,0.0016535,0.0016535,0.0016535
37,234.303,2.44122,1.01861,3.9396,2.27971,0.00434,0.02778,0.00123,0.00045,0,0,0,0,3.90448,5.43908,26.5054,29.1241,0.0016436,0.0016436,0.0016436
38,240.505,2.37804,1.06493,3.89067,2.10609,0.00434,0.02778,0.00123,0.00045,0,0,0,0,3.90448,5.43908,26.5054,29.1241,0.0016337,0.0016337,0.0016337
39,248.559,2.84985,1.09042,3.91963,2.39076,0,0,0,0,0,0,0,0,3.72517,3.63542,76.7975,5.06179,0.0016238,0.0016238,0.0016238
40,255.418,2.16995,1.07001,3.71399,2.05961,0,0,0,0,0,0,0,0,3.72517,3.63542,76.7975,5.06179,0.0016139,0.0016139,0.0016139
41,261.964,2.25214,1.53214,3.77526,2.1431,0,0,0,0,0,0,0,0,3.72517,3.63542,76.7975,5.06179,0.001604,0.001604,0.001604
42,268.198,2.32252,1.04954,3.85869,2.16843,0,0,0,0,0,0,0,0,3.72517,3.63542,76.7975,5.06179,0.0015941,0.0015941,0.0015941
43,277.016,2.4089,0.95071,3.81727,2.16108,0.00472,0.08333,0.00286,0.00058,0,0,0,0,3.623,3.47837,5.28154,4.5646,0.0015842,0.0015842,0.0015842
44,283.286,2.42266,0.90766,3.68195,2.18207,0.00472,0.08333,0.00286,0.00058,0,0,0,0,3.623,3.47837,5.28154,4.5646,0.0015743,0.0015743,0.0015743
45,289.569,2.35479,0.88295,3.6599,2.17966,0.00472,0.08333,0.00286,0.00058,0,0,0,0,3.623,3.47837,5.28154,4.5646,0.0015644,0.0015644,0.0015644
46,297.825,2.53564,1.11881,3.73904,2.23146,0.00365,0.16667,0.00276,0.00063,0,0,0,0,3.33118,1.49028,4.24906,3.11733,0.0015545,0.0015545,0.0015545
47,304.749,2.31679,0.84343,3.61392,2.13263,0.00365,0.16667,0.00276,0.00063,0,0,0,0,3.33118,1.49028,4.24906,3.11733,0.0015446,0.0015446,0.0015446
48,311.304,2.1223,0.812,3.50348,2.02195,0.00365,0.16667,0.00276,0.00063,0,0,0,0,3.33118,1.49028,4.24906,3.11733,0.0015347,0.0015347,0.0015347
49,318.34,2.30951,0.8918,3.60646,2.13354,0.00365,0.16667,0.00276,0.00063,0,0,0,0,3.33118,1.49028,4.24906,3.11733,0.0015248,0.0015248,0.0015248
50,326.78,2.37943,1.02615,3.75925,2.1479,0.00362,0.11111,0.00407,0.00147,0.00272,0.08333,0.0015,0.0002,3.4524,1.71572,4.49172,3.15541,0.0015149,0.0015149,0.0015149
51,333.036,2.20001,0.74076,3.46229,2.02952,0.00362,0.11111,0.00407,0.00147,0.00272,0.08333,0.0015,0.0002,3.4524,1.71572,4.49172,3.15541,0.001505,0.001505,0.001505
52,339.418,2.12877,0.74458,3.36623,1.98581,0.00362,0.11111,0.00407,0.00147,0.00272,0.08333,0.0015,0.0002,3.4524,1.71572,4.49172,3.15541,0.0014951,0.0014951,0.0014951
53,346.071,2.36616,0.87657,3.55024,2.16289,0.00362,0.11111,0.00407,0.00147,0.00272,0.08333,0.0015,0.0002,3.4524,1.71572,4.49172,3.15541,0.0014852,0.0014852,0.0014852
54,354.52,2.0357,0.75935,3.3704,1.93308,0.00637,0.02778,0.00328,0.00033,0,0,0,0,3.92935,4.99479,4.89936,4.13477,0.0014753,0.0014753,0.0014753
55,360.784,2.10333,0.68681,3.3001,2.02069,0.00637,0.02778,0.00328,0.00033,0,0,0,0,3.92935,4.99479,4.89936,4.13477,0.0014654,0.0014654,0.0014654
56,366.968,2.02674,0.73452,3.30855,1.94992,0.00637,0.02778,0.00328,0.00033,0,0,0,0,3.92935,4.99479,4.89936,4.13477,0.0014555,0.0014555,0.0014555
57,375.378,2.12885,0.8498,3.2503,2.02912,0.00149,0.02778,0.00085,0.00017,0,0,0,0,3.66926,4.29364,4.72641,3.58102,0.0014456,0.0014456,0.0014456
58,381.797,2.33081,0.99465,3.41752,2.15489,0.00149,0.02778,0.00085,0.00017,0,0,0,0,3.66926,4.29364,4.72641,3.58102,0.0014357,0.0014357,0.0014357
59,388.38,2.12058,0.84277,3.21647,1.9953,0.00149,0.02778,0.00085,0.00017,0,0,0,0,3.66926,4.29364,4.72641,3.58102,0.0014258,0.0014258,0.0014258
60,395.097,2.23108,0.80797,3.3887,2.05876,0.00149,0.02778,0.00085,0.00017,0,0,0,0,3.66926,4.29364,4.72641,3.58102,0.0014159,0.0014159,0.0014159
