epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34291,1.24043,1.38274,1.20815,0.98466,0.98387,0.99409,0.62752,1.41432,1.19566,1.15913,0.00030006,0.00030006,0.00030006
2,13.5234,1.48425,2.38653,1.29899,0.99259,0.98387,0.99453,0.3954,2.26475,1.60275,1.789,0.000610684,0.000610684,0.000610684
3,19.2486,1.90168,3.39212,1.42497,0.951,0.99785,0.99409,0.42091,2.17207,1.46071,1.68328,0.000915036,0.000915036,0.000915036
4,25.119,1.6808,2.16662,1.23962,0.951,0.99785,0.99409,0.42091,2.17207,1.46071,1.68328,0.00121312,0.00121312,0.00121312
5,30.5915,1.37502,2.38576,1.22897,0.82343,0.94921,0.93587,0.5211,1.67323,1.39641,1.29743,0.00150493,0.00150493,0.00150493
6,36.9542,1.58369,1.84543,1.24973,0.78338,0.68294,0.87952,0.61227,1.19295,1.84275,1.09604,0.00158448,0.00158448,0.00158448
7,42.512,1.43875,2.07261,1.2387,0.78338,0.68294,0.87952,0.61227,1.19295,1.84275,1.09604,0.00156798,0.00156798,0.00156798
8,49.0801,1.39164,1.92387,1.25633,0.95197,0.87532,0.983,0.65244,1.26122,1.54309,1.11068,0.00155148,0.00155148,0.00155148
9,54.575,1.23576,1.8131,1.15879,0.95197,0.87532,0.983,0.65244,1.26122,1.54309,1.11068,0.00153497,0.00153497,0.00153497
10,60.6028,1.21507,1.82668,1.15866,0.97295,0.97503,0.99253,0.61336,1.26426,1.28901,1.10131,0.00151847,0.00151847,0.00151847
11,66.9675,1.09002,1.69197,1.1375,0.91506,0.97826,0.99323,0.6069,1.18404,1.24569,1.07139,0.00150197,0.00150197,0.00150197
12,73.1172,1.23778,1.5461,1.26632,0.91506,0.97826,0.99323,0.6069,1.18404,1.24569,1.07139,0.00148546,0.00148546,0.00148546
13,79.1366,1.22838,1.61843,1.14706,0.93916,0.99473,0.99453,0.50808,1.46511,1.29407,1.18893,0.00146896,0.00146896,0.00146896
14,84.4829,1.21458,1.48876,1.18346,0.93916,0.99473,0.99453,0.50808,1.46511,1.29407,1.18893,0.00145246,0.00145246,0.00145246
15,90.1625,1.12581,1.72855,1.14191,0.96055,0.96876,0.99406,0.56989,1.29745,1.22175,1.11594,0.00143595,0.00143595,0.00143595
16,96.1969,1.07808,1.41263,1.0904,0.99511,0.96178,0.995,0.6299,1.20497,1.09633,1.08426,0.00141945,0.00141945,0.00141945
17,102.292,1.09375,1.33724,1.12318,0.99511,0.96178,0.995,0.6299,1.20497,1.09633,1.08426,0.00140295,0.00140295,0.00140295
18,109.119,1.1956,1.41832,1.1658,0.97111,1,0.995,0.60939,1.23536,1.07076,1.10486,0.00138644,0.00138644,0.00138644
19,115.256,0.96531,1.4113,1.07168,0.97111,1,0.995,0.60939,1.23536,1.07076,1.10486,0.00136994,0.00136994,0.00136994
20,122.966,1.07354,1.47893,1.07945,0.97869,1,0.99453,0.65519,1.06539,0.99609,1.0572,0.00135344,0.00135344,0.00135344
21,129.758,1.05471,1.22711,1.0228,0.98217,0.99417,0.995,0.7106,0.95345,0.96871,1.01324,0.00133693,0.00133693,0.00133693
22,136.488,0.95934,1.3854,1.05373,0.98217,0.99417,0.995,0.7106,0.95345,0.96871,1.01324,0.00132043,0.00132043,0.00132043
23,143.356,1.09077,1.30248,1.11001,0.983,0.95694,0.995,0.69325,1.02613,1.0044,1.02438,0.00130393,0.00130393,0.00130393
24,150.038,1.0798,1.44169,1.12338,0.983,0.95694,0.995,0.69325,1.02613,1.0044,1.02438,0.00128742,0.00128742,0.00128742
25,158.018,0.94729,1.15031,1.04158,0.99343,0.99092,0.995,0.70058,1.02358,0.94903,1.02106,0.00127092,0.00127092,0.00127092
26,163.827,1.0199,1.28495,1.07993,0.99343,0.99092,0.995,0.70058,1.02358,0.94903,1.02106,0.00125442,0.00125442,0.00125442
27,170.678,0.88238,1.16045,0.98697,0.99163,0.99716,0.995,0.72492,0.92587,0.87604,0.98952,0.00123791,0.00123791,0.00123791
28,177.384,0.85212,1.05182,0.97291,0.98846,0.99761,0.995,0.76451,0.82457,0.83717,0.96269,0.00122141,0.00122141,0.00122141
29,183.218,1.03434,1.11649,1.06402,0.98846,0.99761,0.995,0.76451,0.82457,0.83717,0.96269,0.00120491,0.00120491,0.00120491
30,189.986,0.93851,1.10961,1.01788,0.99752,0.98387,0.99453,0.72067,0.93223,0.88584,0.99313,0.0011884,0.0011884,0.0011884
31,196.244,1.03,1.18578,0.99874,0.99752,0.98387,0.99453,0.72067,0.93223,0.88584,0.99313,0.0011719,0.0011719,0.0011719
32,202.302,0.95833,1.09523,1.03015,0.99672,0.98387,0.99453,0.70243,0.98739,0.87306,1.01497,0.0011554,0.0011554,0.0011554
