epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4828,0.85795,0.79959,1.07469,0.99554,1,0.995,0.82479,0.60244,0.47283,0.8853,0.000547373,0.000547373,0.000547373
2,39.5545,0.86403,0.83622,1.0832,0.98887,0.98387,0.99453,0.77513,0.82164,0.50208,0.96489,0.0010994,0.0010994,0.0010994
3,59.0443,0.92498,0.85317,1.0878,0.98612,0.99764,0.995,0.83765,0.6173,0.43386,0.88381,0.00164776,0.00164776,0.00164776
4,77.4443,0.91179,0.89049,1.12236,0.98778,0.98924,0.995,0.72714,0.93286,0.56526,0.9772,0.0016505,0.0016505,0.0016505
5,95.898,0.91087,0.80184,1.06241,0.99159,0.98387,0.99453,0.79803,0.68678,0.45556,0.89984,0.001645,0.001645,0.001645
6,117.742,0.92414,0.95875,1.1148,0.98067,0.99168,0.995,0.71204,1.01531,0.64269,0.98463,0.00163949,0.00163949,0.00163949
7,138.872,0.90187,0.8212,1.08768,0.99695,0.99834,0.995,0.80492,0.7149,0.478,0.9094,0.00163399,0.00163399,0.00163399
8,160.045,0.84044,0.71156,1.07302,0.99273,1,0.995,0.7691,0.72907,0.45908,0.93336,0.00162849,0.00162849,0.00162849
9,180.915,0.82356,0.96642,1.06829,0.99287,1,0.995,0.82598,0.64251,0.50614,0.89612,0.00162299,0.00162299,0.00162299
10,201.145,0.84865,0.84839,1.05757,0.99508,1,0.995,0.77707,0.82057,0.47945,0.92389,0.00161749,0.00161749,0.00161749
11,221.637,0.83764,1.07474,1.04535,0.98519,1,0.995,0.80404,0.69238,0.48148,0.89364,0.00161199,0.00161199,0.00161199
12,241.722,0.83808,0.78698,1.06309,0.99474,1,0.995,0.7974,0.69292,0.44552,0.90804,0.00160649,0.00160649,0.00160649
13,260.779,0.83443,0.77741,1.05362,0.99705,1,0.995,0.80097,0.734,0.42888,0.9054,0.00160099,0.00160099,0.00160099
