epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.55235,1.79193,2.6491,76.3715,1.59086,0.76402,0.30769,0.3173,0.1666,0.66707,0.15385,0.17363,0.04137,2.16219,1.43588,14.1369,2.11227,0.00016,0.00016,0.00016
2,12.7896,3.00137,3.21191,19.6156,2.55548,0.76402,0.30769,0.3173,0.1666,0.66707,0.15385,0.17363,0.04137,2.16219,1.43588,14.1369,2.11227,0.00027268,0.00027268,0.00027268
3,16.5604,2.51015,2.45484,38.4815,1.95557,0.07924,0.15385,0.03172,0.01512,0.15233,0.07692,0.01764,0.00362,2.32922,1.41505,10.5231,2.21871,0.00031408,0.00031408,0.00031408
4,20.3871,2.48455,1.91135,8.69688,2.30213,0.07924,0.15385,0.03172,0.01512,0.15233,0.07692,0.01764,0.00362,2.32922,1.41505,10.5231,2.21871,0.0002842,0.0002842,0.0002842
