epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9663,1.07902,4.35274,0.98986,0,0,0,0,1.11584,4.32912,1.05855,0.00025005,0.00025005,0.00025005
2,18.0368,1.14374,7.69784,1.00563,0.00909,0.03226,0.00831,0.00247,1.06239,4.27542,1.01872,0.000510375,0.000510375,0.000510375
3,22.9351,1.40938,5.60762,1.14299,0.00431,0.03226,0.00251,0.00077,1.16626,4.2228,1.03535,0.000764099,0.000764099,0.000764099
4,29.0507,1.49499,4.30932,1.22758,0.01763,0.30645,0.25873,0.20004,1.17148,4.09095,1.04054,0.00101122,0.00101122,0.00101122
5,33.533,1.37259,3.03527,1.13293,0.01253,0.32258,0.25967,0.17949,1.01779,3.94919,1.00145,0.00125174,0.00125174,0.00125174
6,38.9943,1.42571,2.91912,1.14505,0.01253,0.32258,0.25967,0.17949,1.01779,3.94919,1.00145,0.00148566,0.00148566,0.00148566
7,44.4277,1.24165,2.97181,1.06947,0.00725,0.20968,0.02584,0.01898,1.07251,3.83499,1.07244,0.00154323,0.00154323,0.00154323
8,49.9066,1.17303,3.54118,1.06199,0.00725,0.20968,0.02584,0.01898,1.07251,3.83499,1.07244,0.0015226,0.0015226,0.0015226
9,55.0802,1.07803,3.44977,1.02237,0.96944,0.45161,0.54643,0.41501,1.04033,2.67946,1.01374,0.00150197,0.00150197,0.00150197
10,60.2901,1.16486,2.24471,0.99762,0.96944,0.45161,0.54643,0.41501,1.04033,2.67946,1.01374,0.00148134,0.00148134,0.00148134
11,65.9698,1.12422,2.81144,1.0162,0.99617,0.48387,0.51729,0.41637,0.92066,2.18694,0.97591,0.00146071,0.00146071,0.00146071
12,70.9421,1.26909,2.4256,1.04225,0.99617,0.48387,0.51729,0.41637,0.92066,2.18694,0.97591,0.00144008,0.00144008,0.00144008
13,76.009,1.1282,2.07961,1.0558,0.78833,0.67003,0.81416,0.59422,0.90777,1.85404,0.97305,0.00141945,0.00141945,0.00141945
