epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5615,2.34514,7.52716,1.79438,0.82412,0.29737,0.35466,0.21981,1.40572,3.90425,1.09454,0.00046641,0.00046641,0.00046641
2,37.718,1.68347,4.54622,1.46318,0.50934,0.21984,0.17824,0.12305,1.63122,4.29686,1.29014,0.000939632,0.000939632,0.000939632
3,55.6391,1.6254,4.33609,1.39271,0.12645,0.75035,0.47366,0.39363,1.24104,5.60596,1.12398,0.00140971,0.00140971,0.00140971
4,73.9652,1.70176,3.72737,1.41795,1,0.42884,0.46825,0.33888,1.46201,3.09144,1.22416,0.00141485,0.00141485,0.00141485
5,91.5712,1.64451,2.86548,1.39181,0.48682,0.41935,0.4787,0.26208,1.8372,2.82937,1.40389,0.00141014,0.00141014,0.00141014
6,108.494,1.49995,2.51729,1.28333,0.47072,0.47777,0.47148,0.34819,1.34363,3.41644,1.1977,0.00140542,0.00140542,0.00140542
7,126.184,1.51394,2.47881,1.34595,0.47684,0.52735,0.48967,0.37843,1.33555,3.06948,1.2333,0.00140071,0.00140071,0.00140071
8,145.984,1.5351,2.00551,1.28744,0.43024,0.39802,0.46982,0.39335,1.0408,2.0733,1.05838,0.00139599,0.00139599,0.00139599
9,165.946,1.47498,1.58819,1.29052,0.47027,0.48387,0.50787,0.35773,1.34785,2.19791,1.21694,0.00139127,0.00139127,0.00139127
10,185.965,1.27466,1.87364,1.1865,1,0.49906,0.51846,0.3477,1.32909,2.0867,1.22697,0.00138656,0.00138656,0.00138656
11,204.614,1.35592,1.76684,1.24905,1,0.48928,0.52897,0.38781,1.35484,2.7058,1.22224,0.00138184,0.00138184,0.00138184
12,223.638,1.33643,1.62575,1.20543,0.47015,0.5,0.52377,0.4407,0.97649,2.07399,1.0144,0.00137713,0.00137713,0.00137713
13,241.989,1.21207,1.2913,1.14911,0.99961,0.5,0.53649,0.4512,0.98399,1.83767,1.02739,0.00137241,0.00137241,0.00137241
14,261.593,1.3294,1.27763,1.19201,0.49754,0.5,0.53656,0.40654,1.34048,1.96175,1.17683,0.0013677,0.0013677,0.0013677
15,281.012,1.20523,1.26427,1.14977,0.62585,0.54348,0.66316,0.51603,1.01484,1.66095,1.05591,0.00136298,0.00136298,0.00136298
16,299.466,1.15846,1.17903,1.16814,0.68944,0.64612,0.71754,0.46276,1.28735,1.82909,1.18444,0.00135826,0.00135826,0.00135826
17,319.295,1.29209,1.20796,1.16774,0.59827,0.59033,0.71119,0.52701,0.98134,1.50689,1.05739,0.00135355,0.00135355,0.00135355
18,336.985,1.18097,1.18928,1.21781,1,0.49969,0.69835,0.49074,1.11472,1.62784,1.07831,0.00134883,0.00134883,0.00134883
19,355.114,1.08016,1.03145,1.08471,0.68416,0.52174,0.61786,0.46669,1.12168,1.98637,1.0964,0.00134412,0.00134412,0.00134412
20,372.922,1.18972,1.07655,1.14634,0.60787,0.54348,0.60785,0.48243,0.983,2.16039,1.03439,0.0013394,0.0013394,0.0013394
21,391.186,1.05367,0.94826,1.05833,0.99892,0.5,0.56341,0.44279,1.09433,2.0406,1.06592,0.00133469,0.00133469,0.00133469
22,412.749,1.04616,0.93927,1.08917,0.91116,0.52174,0.60152,0.48798,0.91906,2.15939,1.02833,0.00132997,0.00132997,0.00132997
23,433.715,0.96022,0.91373,1.05799,0.91861,0.52174,0.59531,0.45997,1.07026,2.14357,1.09945,0.00132525,0.00132525,0.00132525
24,453.141,1.0074,0.98501,1.08643,0.99894,0.5,0.582,0.45866,0.91212,1.84796,1.01856,0.00132054,0.00132054,0.00132054
25,473.748,0.934,0.83933,1.07765,0.58606,0.52174,0.63669,0.46466,1.03185,1.82737,1.07783,0.00131582,0.00131582,0.00131582
26,492.714,1.07179,1.08955,1.05607,0.56277,0.52174,0.59536,0.50664,0.79275,1.59949,0.95094,0.00131111,0.00131111,0.00131111
27,512.955,0.99411,0.93987,1.03137,0.99867,0.5,0.51978,0.42997,0.96135,1.9276,1.00922,0.00130639,0.00130639,0.00130639
28,531.463,0.9776,0.88692,1.06587,0.9986,0.5,0.53794,0.47688,0.70027,1.9511,0.92797,0.00130168,0.00130168,0.00130168
29,551.192,1.06132,0.92347,1.09522,0.99877,0.5,0.51835,0.44577,0.72034,2.02406,0.93034,0.00129696,0.00129696,0.00129696
30,569.256,1.01679,0.90286,1.05821,0.99877,0.5,0.49897,0.42966,0.94526,2.0238,0.99111,0.00129224,0.00129224,0.00129224
31,587.824,0.91711,0.79577,1.02024,0.99886,0.5,0.50195,0.43369,0.86091,1.90663,0.97313,0.00128753,0.00128753,0.00128753
32,605.573,0.88953,0.79297,0.9972,0.99896,0.5,0.51052,0.4354,0.91531,2.00519,0.97396,0.00128281,0.00128281,0.00128281
33,624.43,0.95857,0.79033,1.03326,0.99902,0.5,0.50093,0.43058,0.9061,2.09475,0.99214,0.0012781,0.0012781,0.0012781
34,643.059,0.98646,0.78749,1.03328,0.99911,0.5,0.50123,0.44522,0.69617,2.07857,0.91338,0.00127338,0.00127338,0.00127338
35,663.121,0.97225,0.79931,1.06002,0.99902,0.5,0.52046,0.42693,0.88889,2.30563,0.97143,0.00126867,0.00126867,0.00126867
36,681.548,0.98448,0.85931,1.05102,0.99895,0.5,0.53523,0.44901,0.84171,2.01081,0.943,0.00126395,0.00126395,0.00126395
37,700.685,0.94548,0.81274,1.0149,0.99901,0.5,0.56735,0.48047,0.6945,1.85961,0.90303,0.00125923,0.00125923,0.00125923
38,718.747,0.88982,0.7824,1.00202,0.44327,0.76087,0.55115,0.45567,0.90901,2.02925,0.97587,0.00125452,0.00125452,0.00125452
39,738.074,0.95976,0.82189,1.04078,0.45893,0.6087,0.54802,0.45917,0.83517,2.08833,0.94396,0.0012498,0.0012498,0.0012498
40,756.477,0.87426,0.75525,0.97003,0.9993,0.5,0.5493,0.47806,0.69526,2.11848,0.91707,0.00124509,0.00124509,0.00124509
41,772.447,0.81333,0.74523,0.9915,0.99956,0.5,0.50888,0.46369,0.70283,2.08017,0.91987,0.00124037,0.00124037,0.00124037
42,791.581,0.81808,0.74385,0.96219,0.99917,0.5,0.56846,0.49012,0.73769,1.94758,0.9007,0.00123566,0.00123566,0.00123566
43,810.084,0.78761,0.71023,0.97912,0.99894,0.5,0.56891,0.50133,0.67277,1.8344,0.88038,0.00123094,0.00123094,0.00123094
44,829.86,0.79603,0.7679,0.96242,0.99909,0.5,0.51347,0.45958,0.67582,1.82905,0.89895,0.00122622,0.00122622,0.00122622
45,848.941,0.82851,0.75242,1.0193,0.99929,0.5,0.5179,0.46451,0.77888,1.99556,0.93807,0.00122151,0.00122151,0.00122151
46,866.921,0.7407,0.69563,0.98425,0.99946,0.5,0.52258,0.46423,0.81422,1.97673,0.95384,0.00121679,0.00121679,0.00121679
47,885.204,0.83419,0.69545,0.98805,0.47321,0.63043,0.60204,0.54254,0.6279,1.82054,0.88914,0.00121208,0.00121208,0.00121208
48,902.731,0.78687,0.70893,0.96058,0.54082,0.97826,0.93555,0.74382,0.68546,1.76106,0.88723,0.00120736,0.00120736,0.00120736
49,920.831,0.86586,0.79342,1.01401,0.58778,0.93478,0.91365,0.66413,0.83337,1.80277,0.92962,0.00120265,0.00120265,0.00120265
50,938.157,0.85667,0.78597,0.98696,0.99884,0.5,0.66275,0.54453,0.66971,2.01906,0.90334,0.00119793,0.00119793,0.00119793
51,956.466,0.79695,0.68876,0.94956,0.999,0.5,0.60891,0.54053,0.64057,2.00379,0.89691,0.00119322,0.00119322,0.00119322
52,972.623,0.86621,0.72915,0.97786,0.99911,0.5,0.61963,0.46716,0.9447,2.22779,0.98535,0.0011885,0.0011885,0.0011885
53,989.379,0.90749,0.75943,1.01341,0.42966,0.71739,0.60586,0.52366,0.71442,2.11952,0.90612,0.00118378,0.00118378,0.00118378
54,1006.27,0.92353,0.804,1.03959,0.99936,0.5,0.54549,0.49769,0.70755,2.12008,0.90671,0.00117907,0.00117907,0.00117907
55,1023.32,0.84545,0.71424,0.97629,0.99894,0.5,0.54398,0.47857,0.85056,2.10889,0.95929,0.00117435,0.00117435,0.00117435
56,1040.42,0.80134,0.70447,0.98162,0.99806,0.5,0.51355,0.47701,0.55995,1.91391,0.88136,0.00116964,0.00116964,0.00116964
57,1059.53,0.89018,0.74073,1.01247,0.99879,0.5,0.50319,0.4533,0.64698,2.01822,0.90096,0.00116492,0.00116492,0.00116492
